Temperature,TWL
83500,180
79325,182
75358.8,194
71590.8,155
68011.3,165
64610.7,179
61380.2,153
58311.2,193
55395.6,190
52625.8,175
49994.5,172
47494.8,158
45120.1,176
42864.1,173
40720.9,201
38684.8,162
36750.6,162
34913,173
33167.4,180
31509,162
29933.6,192
28436.9,194
27015.1,194
25664.3,169
24381.1,175
23162,166
22003.9,187
20903.7,196
19858.5,163
18865.6,178
17922.3,146
17026.2,163
16174.9,184
15366.2,152
14597.9,156
13868,173
13174.6,169
12515.8,158
11890,157
11295.5,181
10730.8,154
10194.2,204
9684.52,165
9200.29,190
8740.28,166
8303.26,173
7888.1,170
7493.69,170
7119.01,187
6763.06,186
6424.91,183
6103.66,167
5798.48,157
5508.55,173
5233.13,191
4971.47,195
4722.9,171
4486.75,189
4262.41,175
4049.29,173
3846.83,195
3654.49,175
3471.76,170
3298.17,145
3133.27,156
2976.6,165
2827.77,149
2686.38,174
2552.06,176
2424.46,161
2303.24,182
2188.08,182
2078.67,158
1974.74,174
1876,161
1782.2,147
1693.09,154
1608.44,164
1528.02,185
1451.61,183
1379.03,169
1310.08,191
1244.58,179
1182.35,191
1123.23,188
1067.07,160
1013.72,168
963.031,175
914.879,152
869.135,186
825.678,172
784.395,161
745.175,170
707.916,169
672.52,188
638.894,147
606.95,168
576.602,158
547.772,177
520.383,180
494.364,170
469.646,160
446.164,177
423.855,170
402.663,185
382.53,150
363.403,158
345.233,170
327.971,186
311.573,182
295.994,178
281.194,159
267.135,163
253.778,179
241.089,166
229.035,179
217.583,164
206.704,165
196.369,149
186.55,163
177.223,197
168.361,153
159.943,152
151.946,177
144.349,152
137.131,175
130.275,171
123.761,167
117.573,146
111.694,176
106.11,166
100.804,178
95.764,157
90.9758,179
86.427,165
82.1057,180
78.0004,181
74.1004,184
70.3954,192
66.8756,178
63.5318,170
60.3552,189
57.3375,178
54.4706,170
51.7471,170
49.1597,168
46.7017,181
44.3666,158
42.1483,169
40.0409,150
38.0388,155
36.1369,182
34.3301,190
32.6136,167
30.9829,172
29.4337,194
27.962,162
26.5639,153
25.2357,161
23.974,177
22.7753,185
21.6365,163
20.5547,177
19.5269,166
18.5506,166
17.6231,165
16.7419,172
15.9048,164
15.1096,180
14.3541,189
13.6364,155
12.9546,160
12.3068,141
11.6915,150
11.1069,152
10.5516,149
10.024,167
9.5228,126
9.04666,183
8.59433,167
8.16461,148
7.75638,153
7.36856,155
7.00013,158
6.65013,147
6.31762,156
6.00174,136
5.70165,138
5.41657,153
5.14574,153
4.88845,142
4.64403,156
4.41183,154
4.19124,140
3.98168,135
3.78259,136
3.59346,131
3.41379,132
3.2431,134
3.08094,139
2.9269,119
2.78055,140
2.64153,123
2.50945,117
2.38398,128
2.26478,118
2.15154,125
2.04396,124
1.94176,109
1.84468,108
1.75244,107
1.66482,112
1.58158,95
1.5025,108
1.42737,104
1.35601,100
1.28821,112
1.2238,98
1.16261,97
1.10448,102
1.04925,82
0.996789,93
0.94695,88
0.899602,94
0.854622,81
0.811891,91
0.771296,90
0.732732,81
0.696095,76
0.66129,76
0.628226,75
0.596814,78
0.566974,83
0.538625,68
0.511694,73
0.486109,74
0.461804,73
0.438713,72
0.416778,73
0.395939,71
0.376142,67
0.357335,65
0.339468,65
0.322495,66
0.30637,66
0.291051,64
0.276499,63
0.262674,63
0.24954,63
0.237063,63
0.22521,64
0.21395,64
0.203252,64
0.193089,63
0.183435,63
0.174263,63
0.16555,63
0.157273,63
0.149409,63
0.141939,63
0.134842,63
0.1281,63
0.121695,63
0.11561,63
0.109829,63
0.104338,63
0.099121,63
0.0941649,63
0.0894567,63
0.0849838,63
0.0807346,63
0.0766979,63
0.072863,63
0.0692199,63
0.0657589,63
0.0624709,63
0.0593474,63
0.05638,63
0.053561,63
0.050883,63
0.0483388,63
0.0459219,63
0.0436258,63
0.0414445,63
0.0393723,63
0.0374036,63
0.0355335,63
0.0337568,63
0.032069,63
0.0304655,63
0.0289422,63
0.0274951,63
0.0261204,63
0.0248143,63
0.0235736,63
0.0223949,63
0.0212752,63
0.0202114,63
0.0192009,63
0.0182408,63
0.0173288,63
0.0164623,63
0.0156392,63
0.0148573,63
0.0141144,63
0.0134087,63
0.0127382,63
0.0121013,63
