Temperature,TWL
3.4085e+06,7002
3.23808e+06,6818
3.07617e+06,7030
2.92236e+06,6940
2.77624e+06,7071
2.63743e+06,7025
2.50556e+06,6968
2.38028e+06,6785
2.26127e+06,6802
2.14821e+06,6944
2.04079e+06,6898
1.93876e+06,6866
1.84182e+06,7012
1.74973e+06,6993
1.66224e+06,7090
1.57913e+06,6962
1.50017e+06,6947
1.42516e+06,6737
1.35391e+06,7037
1.28621e+06,6900
1.2219e+06,6911
1.1608e+06,6869
1.10276e+06,6898
1.04763e+06,6694
995245,6813
945482,7228
898208,6887
853298,6906
810633,7106
770101,6760
731596,7014
695016,6867
660266,7128
627252,6833
595890,6856
566095,6683
537790,6876
510901,6774
485356,6990
461088,6655
438034,6898
416132,6952
395325,6864
375559,7233
356781,6838
338942,6776
321995,7002
305895,6825
290600,6759
276070,6818
262267,6924
249154,6742
236696,6898
224861,6949
213618,6839
202937,6671
192790,6848
183151,7017
173993,7112
165294,7093
157029,7162
149177,6770
141719,7011
134633,7062
127901,6657
121506,6927
115431,6885
109659,6975
104176,7008
98967.4,6784
94019,6796
89318.1,6845
84852.2,7207
80609.5,6914
76579.1,6959
72750.1,6818
69112.6,6872
65657,7026
62374.1,6817
59255.4,6760
56292.7,7003
53478,6981
50804.1,6939
48263.9,7000
45850.7,6932
43558.2,7016
41380.3,6816
39311.3,6869
37345.7,6861
35478.4,7038
33704.5,6757
32019.3,6907
30418.3,7032
28897.4,7049
27452.5,6646
26079.9,7013
24775.9,7032
23537.1,6892
22360.2,6985
21242.2,6887
20180.1,6813
19171.1,6921
18212.6,6955
17301.9,7088
16436.8,6797
15615,6873
14834.2,7130
14092.5,6737
13387.9,6929
12718.5,7037
12082.6,6940
11478.5,7066
10904.5,6816
10359.3,6935
9841.34,6800
9349.27,6982
8881.81,6952
8437.72,6894
8015.83,6939
7615.04,6985
7234.29,7054
6872.58,6808
6528.95,6861
6202.5,6944
5892.37,6888
5597.76,6765
5317.87,6897
5051.97,6657
4799.38,6978
4559.41,6696
4331.44,6860
4114.86,6867
3909.12,6795
3713.67,6918
3527.98,6852
3351.58,7019
3184,7027
3024.8,6979
2873.56,7005
2729.89,6920
2593.39,7166
2463.72,6818
2340.54,6924
2223.51,6811
2112.33,6794
2006.72,7029
1906.38,7062
1811.06,6968
1720.51,6930
1634.48,6935
1552.76,6725
1475.12,6815
1401.37,6969
1331.3,6857
1264.73,6922
1201.5,7029
1141.42,6992
1084.35,6878
1030.13,6903
978.626,6899
929.694,6730
883.21,6716
839.049,6839
797.097,6813
757.242,6889
719.38,6993
683.411,6753
649.24,6759
616.778,6751
585.939,6836
556.642,6926
528.81,6877
502.37,6814
477.251,6819
453.389,6781
430.719,6800
409.183,6870
388.724,6643
369.288,6979
350.823,6758
333.282,6716
316.618,6823
300.787,6965
285.748,6686
271.461,6705
257.887,6844
244.993,6813
232.743,6712
221.106,7026
210.051,6853
199.548,6814
189.571,6693
180.092,6819
171.088,6767
162.533,6812
154.407,6965
146.686,6760
139.352,6836
132.385,6810
125.765,6894
119.477,6905
113.503,6719
107.828,6818
102.437,6857
97.3148,6976
92.449,6936
87.8266,6740
83.4353,6681
79.2635,6606
75.3003,6829
71.5353,6922
67.9585,6639
64.5606,6802
61.3326,6774
58.2659,6825
55.3527,6632
52.585,6729
49.9558,6711
47.458,6555
45.0851,6611
42.8308,6599
40.6893,6623
38.6548,6366
36.7221,6661
34.886,6514
33.1417,6633
31.4846,6605
29.9104,6349
28.4148,6531
26.9941,6200
25.6444,6392
24.3622,6222
23.1441,6243
21.9869,6305
20.8875,6274
19.8431,6211
18.851,5995
17.9084,6180
17.013,6165
16.1624,6003
15.3542,6077
14.5865,5802
13.8572,5735
13.1643,5997
12.5061,5926
11.8808,5901
11.2868,5825
10.7224,5725
10.1863,5709
9.67701,5535
9.19316,5058
8.7335,5074
8.29682,5359
7.88198,5313
7.48788,4955
7.11349,5047
6.75781,5113
6.41992,4733
6.09893,4823
5.79398,4604
5.50428,4520
5.22907,4323
4.96761,4217
4.71923,4078
4.48327,3999
4.25911,3930
4.04615,3874
3.84385,3797
3.65165,3717
3.46907,3624
3.29562,3596
3.13084,3444
2.97429,3343
2.82558,3487
2.6843,3330
2.55009,3153
2.42258,3161
2.30145,3086
2.18638,3108
2.07706,3030
1.97321,2922
1.87455,2935
1.78082,2813
1.69178,2749
1.60719,2716
1.52683,2639
1.45049,2606
1.37796,2629
1.30907,2568
1.24361,2510
1.18143,2488
1.12236,2464
1.06624,2403
1.01293,2352
0.962284,2352
0.91417,2338
0.868461,2332
0.825038,2317
0.783786,2291
0.744597,2267
0.707367,2239
0.671999,2237
0.638399,2210
0.606479,2194
0.576155,2176
0.547347,2164
0.51998,2157
0.493981,2148
0.469282,2142
0.445818,2136
0.423527,2126
0.40235,2118
0.382233,2107
0.363121,2097
0.344965,2079
0.327717,2072
0.311331,2063
0.295765,2052
0.280976,2049
0.266928,2035
0.253581,2031
0.240902,2025
0.228857,2018
0.217414,2014
0.206543,2013
0.196216,2009
0.186405,2009
0.177085,2006
0.168231,2005
0.159819,2003
0.151828,2002
0.144237,1998
0.137025,1995
0.130174,1994
0.123665,1994
0.117482,1991
0.111608,1987
0.106027,1987
0.100726,1986
0.0956898,1984
0.0909053,1983
0.08636,1981
0.082042,1979
0.0779399,1979
0.0740429,1977
0.0703408,1975
0.0668237,1975
0.0634825,1972
0.0603084,1971
0.057293,1970
0.0544283,1969
0.0517069,1969
